GEO_ID,NAME,POPGROUP,POPGROUP_TTL,HCT006001,HCT006001ERR,HCT006002,HCT006003,HCT006004,HCT006005,HCT006006,HCT006007,HCT006008
Geography,Label for GEO_ID,Race/Ethnic Group,Population Groups,Total,Errata of Total,Total!!1-person household,Total!!2-person household,Total!!3-person household,Total!!4-person household,Total!!5-person household,Total!!6-person household,Total!!7-or-more-person household
8600000US89010,ZCTA5 89010,1,Total population,172,null,51,69,19,12,12,4,5
8600000US89019,ZCTA5 89019,1,Total population,1164,null,412,421,134,83,57,32,25
8600000US89060,ZCTA5 89060,1,Total population,4144,null,1106,1714,550,361,222,95,96
8600000US89061,ZCTA5 89061,1,Total population,2109,null,469,936,283,206,112,62,41
8600000US89439,ZCTA5 89439,1,Total population,671,null,193,314,88,55,17,2,2
8600000US90001,ZCTA5 90001,1,Total population,12971,null,1244,1786,1934,2387,2077,1453,2090
8600000US90002,ZCTA5 90002,1,Total population,11731,null,1548,1712,1692,1829,1690,1196,2064
8600000US90003,ZCTA5 90003,1,Total population,15642,null,2059,2308,2341,2642,2270,1551,2471
8600000US90004,ZCTA5 90004,1,Total population,22547,null,6252,6074,3754,3318,1705,773,671
8600000US90005,ZCTA5 90005,1,Total population,15044,null,5005,4054,2377,1982,938,379,309
8600000US90006,ZCTA5 90006,1,Total population,18617,null,4197,4216,3274,3015,1906,992,1017
8600000US90007,ZCTA5 90007,1,Total population,11944,null,3301,2778,1904,1694,969,588,710
8600000US90008,ZCTA5 90008,1,Total population,13841,null,5336,3821,2013,1354,703,324,290
8600000US90010,ZCTA5 90010,1,Total population,2014,null,939,670,220,124,40,17,4
8600000US90011,ZCTA5 90011,1,Total population,22168,null,2215,2650,2918,3785,3733,2436,4431
8600000US90012,ZCTA5 90012,1,Total population,10327,null,4459,3110,1199,766,440,197,156
8600000US90013,ZCTA5 90013,1,Total population,6416,null,5038,1177,133,47,9,8,4
8600000US90014,ZCTA5 90014,1,Total population,4109,null,2998,925,135,32,12,4,3
8600000US90015,ZCTA5 90015,1,Total population,7420,null,3022,1874,855,714,427,243,285
8600000US90016,ZCTA5 90016,1,Total population,16145,null,4426,3894,2569,2243,1447,754,812
8600000US90017,ZCTA5 90017,1,Total population,9338,null,3537,2226,1216,1046,691,338,284
8600000US90018,ZCTA5 90018,1,Total population,15493,null,4021,3309,2583,2214,1518,847,1001
8600000US90019,ZCTA5 90019,1,Total population,23344,null,6820,6342,3841,2999,1660,878,804
8600000US90020,ZCTA5 90020,1,Total population,16514,null,5873,4627,2697,1891,879,343,204
8600000US90021,ZCTA5 90021,1,Total population,1561,null,1108,258,85,49,31,8,22
8600000US90022,ZCTA5 90022,1,Total population,17023,null,2199,2936,2818,3040,2522,1535,1973
8600000US90023,ZCTA5 90023,1,Total population,10727,null,1086,1645,1667,1920,1683,1143,1583
8600000US90024,ZCTA5 90024,1,Total population,17903,null,7491,5927,1986,1805,491,157,46
8600000US90025,ZCTA5 90025,1,Total population,21228,null,8950,7402,2623,1503,483,155,112
8600000US90026,ZCTA5 90026,1,Total population,24956,null,7417,7160,3755,2948,1804,959,913
8600000US90027,ZCTA5 90027,1,Total population,21929,null,9747,6915,2536,1730,633,231,137
8600000US90028,ZCTA5 90028,1,Total population,14964,null,8274,4115,1219,775,327,160,94
